edge degrees:
id	degree	max	normal
330	6	14	0.86
331	10	613	0.03
332	5	13	0.77
333	9	151	0.12
334	7	15	0.93
335	6	148	0.08
336	2	605	0.01
337	2	24	0.17
338	2	167	0.02
339	9	174	0.1
340	8	176	0.09
341	8	391	0.04
342	5	21	0.48
343	10	26	0.77
344	14	30	0.93
345	3	7	0.86
346	6	33	0.36
347	3	10	0.6
348	3	30	0.2
349	3	10	0.6
350	7	16	0.88
351	6	14	0.86
352	7	172	0.08
353	6	14	0.86
354	2	385	0.01
355	1	9	0.22
356	6	14	0.86
357	10	22	0.91
358	48	186	0.52
359	8	17	0.94
360	48	190	0.51
361	10	148	0.14
362	6	15	0.8
363	10	152	0.13
364	7	16	0.88
365	7	149	0.09
366	3	606	0.01
367	3	386	0.02
368	3	14	0.43
369	3	145	0.04
370	10	21	0.95
371	8	19	0.84
372	5	147	0.07
373	2	5	0.8
374	2	80	0.05
375	2	120	0.03
376	2	80	0.05
377	2	120	0.03
378	31	91	0.68
379	7	15	0.93
380	25	85	0.59
381	5	13	0.77
382	6	14	0.86
383	25	167	0.3
384	5	147	0.07
385	6	14	0.86
386	5	10	1
387	6	14	0.86
388	5	10	1
389	8	611	0.03
390	5	10	1
391	5	10	1
392	8	176	0.09
393	10	393	0.05
394	5	17	0.59
395	8	20	0.8
396	10	22	0.91
397	16	619	0.05
398	2	4	1
399	5	170	0.06
400	2	4	1
401	2	167	0.02
402	3	19	0.32
403	6	609	0.02
404	3	25	0.24
405	6	41	0.29
406	14	617	0.05
407	10	32	0.62
408	6	41	0.29
409	34	69	0.99
410	8	43	0.37
411	14	152	0.18
412	11	63	0.35
413	14	92	0.3
414	15	618	0.05
415	12	128	0.19
416	15	398	0.08
417	15	133	0.23
418	14	156	0.18
419	7	21	0.67
420	8	391	0.04
421	6	16	0.75
422	11	394	0.06
423	4	14	0.57
424	9	19	0.95
425	2	605	0.01
426	2	167	0.02
427	2	28	0.14
428	21	47	0.89
429	9	35	0.51
430	8	16	1
431	9	18	1
432	6	14	0.86
433	7	16	0.88
434	8	391	0.04
435	7	16	0.88
436	9	18	1
437	4	8	1
438	51	136	0.75
439	4	8	1
440	4	89	0.09
441	4	184	0.04
442	4	8	1
443	4	131	0.06
444	37	217	0.34
445	4	8	1
446	32	159	0.4
447	4	8	1
448	4	131	0.06
449	8	611	0.03
450	5	170	0.06
451	2	4	1
452	2	4	1
453	2	4	1
454	35	85	0.82
455	10	24	0.83
456	49	99	0.99
457	13	27	0.96
458	10	24	0.83
459	17	52	0.65
460	6	13	0.92
461	17	52	0.65
462	6	13	0.92
463	32	67	0.96
464	7	14	1
465	24	407	0.12
466	5	12	0.83
467	7	14	1
468	9	18	1
469	85	212	0.8
470	7	390	0.04
471	6	148	0.08
472	6	133	0.09
473	69	196	0.7
474	34	161	0.42
475	8	16	1
476	7	15	0.93
477	8	16	1
478	8	16	1
479	8	16	1
480	8	16	1
481	4	12	0.67
482	8	173	0.09
483	7	172	0.08
484	7	21	0.67
485	9	612	0.03
486	8	126	0.13
487	6	23	0.52
488	14	617	0.05
489	13	131	0.2
490	7	24	0.58
491	15	32	0.94
492	16	36	0.89
493	13	30	0.87
494	13	33	0.79
495	15	32	0.94
496	16	36	0.89
497	12	29	0.83
498	12	32	0.75
499	16	33	0.97
500	17	37	0.92
501	13	33	0.79
502	16	399	0.08
503	16	134	0.24
504	17	400	0.08
505	19	137	0.28
506	1	5	0.4
507	3	7	0.86
508	4	12	0.67
509	40	205	0.39
510	2	10	0.4
511	6	14	0.86
512	4	8	1
513	11	25	0.88
514	4	8	1
515	4	18	0.44
516	4	184	0.04
517	4	8	1
518	4	131	0.06
519	9	189	0.1
520	4	8	1
521	9	136	0.13
522	4	8	1
523	4	131	0.06
524	13	28	0.93
525	11	26	0.85
526	13	193	0.13
527	9	24	0.75
528	13	140	0.19
529	10	25	0.8
530	13	28	0.93
531	9	136	0.13
532	5	14	0.71
533	2	4	1
534	7	17	0.82
535	2	4	1
536	5	15	0.67
537	2	12	0.33
538	0	9	0
539	2	4	1
540	10	613	0.03
541	5	170	0.06
542	2	605	0.01
543	2	167	0.02
544	27	77	0.7
545	14	34	0.82
546	14	28	1
547	19	39	0.97
548	14	28	1
549	23	73	0.63
550	14	34	0.82
551	14	28	1
552	15	35	0.86
553	10	24	0.83
554	24	189	0.25
555	9	23	0.78
556	14	179	0.16
557	14	179	0.16
558	8	611	0.03
559	5	170	0.06
560	2	4	1
561	2	4	1
562	2	4	1
563	8	16	1
564	9	18	1
565	8	173	0.09
566	9	18	1
567	4	10	0.8
568	9	177	0.1
569	11	394	0.06
570	5	173	0.06
571	5	388	0.03
572	5	10	1
573	6	174	0.07
574	3	10	0.6
575	6	389	0.03
576	6	13	0.92
577	5	388	0.03
578	0	10	0
579	6	13	0.92
580	9	19	0.95
581	6	13	0.92
582	9	19	0.95
