edge degrees:
id	degree	max	normal
1406	5	13	0.77
1407	5	25	0.4
1408	13	396	0.07
1409	4	8	1
1410	7	15	0.93
1411	14	397	0.07
1412	4	8	1
1413	7	27	0.52
1414	4	8	1
1415	16	399	0.08
1416	4	8	1
1417	4	8	1
1418	11	614	0.04
1419	9	41	0.44
1420	7	26	0.54
1421	7	45	0.31
1422	13	32	0.81
1423	18	56	0.64
1424	16	32	1
1425	11	27	0.81
1426	16	399	0.08
1427	15	133	0.23
1428	4	8	1
1429	14	74	0.38
1430	4	8	1
1431	4	64	0.12
1432	4	8	1
1433	4	8	1
1434	7	17	0.82
1435	7	16	0.88
1436	7	17	0.82
1437	7	16	0.88
1438	7	16	0.88
1439	5	14	0.71
1440	2	4	1
1441	10	613	0.03
1442	7	172	0.08
1443	2	605	0.01
1444	2	167	0.02
1445	18	38	0.95
1446	18	38	0.95
1447	14	130	0.22
1448	11	25	0.88
1449	16	40	0.8
1450	15	41	0.73
1451	23	626	0.07
1452	6	32	0.38
1453	9	136	0.13
1454	24	50	0.96
1455	5	26	0.38
1456	5	12	0.83
1457	3	10	0.6
1458	3	7	0.86
1459	6	12	1
1460	3	386	0.02
1461	2	8	0.5
1462	5	11	0.91
1463	21	186	0.23
1464	4	8	1
1465	4	169	0.05
1466	6	12	1
1467	3	9	0.67
1468	5	170	0.06
1469	7	85	0.16
1470	7	125	0.11
1471	2	5	0.8
1472	2	5	0.8
1473	2	5	0.8
1474	2	15	0.27
1475	15	44	0.68
1476	18	47	0.77
1477	18	160	0.22
1478	13	151	0.17
1479	10	62	0.32
1480	13	91	0.29
1481	14	617	0.05
1482	10	126	0.16
1483	14	397	0.07
1484	14	132	0.21
1485	13	155	0.17
1486	9	87	0.21
1487	5	11	0.91
1488	9	127	0.14
1489	5	11	0.91
1490	5	123	0.08
1491	2	605	0.01
1492	2	167	0.02
1493	2	45	0.09
1494	14	57	0.49
1495	31	158	0.39
1496	8	19	0.84
1497	8	30	0.53
1498	8	19	0.84
1499	8	30	0.53
1500	8	30	0.53
1501	11	394	0.06
1502	15	398	0.08
1503	7	15	0.93
1504	20	98	0.41
1505	20	138	0.29
1506	5	83	0.12
1507	7	610	0.02
1508	5	123	0.08
1509	6	12	1
1510	45	137	0.66
1511	5	97	0.1
1512	6	186	0.06
1513	6	609	0.02
1514	5	147	0.07
1515	5	132	0.08
1516	33	213	0.31
1517	31	173	0.36
1518	25	152	0.33
1519	38	180	0.42
1520	4	11	0.73
1521	15	35	0.86
1522	6	13	0.92
1523	4	24	0.33
1524	5	388	0.03
1525	4	122	0.07
1526	19	402	0.09
1527	16	134	0.24
1528	13	616	0.04
1529	7	172	0.08
1530	2	4	1
1531	2	4	1
1532	2	4	1
1533	3	10	0.6
1534	4	16	0.5
1535	5	12	0.83
1536	8	20	0.8
1537	7	19	0.74
1538	6	14	0.86
1539	5	10	1
1540	8	611	0.03
1541	7	29	0.48
1542	5	10	1
1543	5	10	1
1544	5	10	1
1545	3	606	0.01
1546	3	386	0.02
1547	3	8	0.75
1548	3	41	0.15
1549	5	10	1
1550	4	9	0.89
1551	35	73	0.96
1552	3	41	0.15
1553	2	605	0.01
1554	2	167	0.02
1555	2	4	1
1556	2	4	1
1557	2	4	1
1558	15	181	0.17
1559	15	180	0.17
1560	7	17	0.82
1561	4	9	0.89
1562	2	7	0.57
1563	5	10	1
1564	4	9	0.89
1565	4	12	0.67
1566	5	10	1
1567	6	14	0.86
1568	3	11	0.55
1569	4	146	0.05
1570	4	146	0.05
1571	5	11	0.91
1572	9	19	0.95
1573	5	11	0.91
1574	9	19	0.95
1575	5	123	0.08
1576	5	15	0.67
1577	5	132	0.08
1578	9	136	0.13
1579	16	33	0.97
1580	14	29	0.97
1581	46	162	0.57
1582	15	32	0.94
1583	12	27	0.89
1584	16	33	0.97
1585	14	29	0.97
1586	21	137	0.31
1587	13	30	0.87
1588	10	25	0.8
1589	14	29	0.97
1590	12	29	0.83
1591	11	26	0.85
1592	14	29	0.97
1593	12	27	0.89
1594	5	12	0.83
1595	5	170	0.06
1596	3	11	0.55
1597	8	21	0.76
1598	3	8	0.75
1599	8	21	0.76
1600	3	8	0.75
1601	12	615	0.04
1602	3	8	0.75
1603	5	10	1
1604	5	11	0.91
1605	4	9	0.89
1606	6	609	0.02
1607	3	8	0.75
1608	5	147	0.07
1609	4	9	0.89
1610	4	146	0.05
1611	5	11	0.91
1612	5	11	0.91
1613	5	18	0.56
1614	6	609	0.02
1615	11	22	1
1616	2	4	1
1617	8	173	0.09
1618	2	4	1
1619	2	4	1
1620	4	9	0.89
1621	5	11	0.91
1622	4	9	0.89
1623	6	12	1
1624	3	9	0.67
1625	5	388	0.03
1626	6	389	0.03
1627	8	17	0.94
1628	3	6	1
1629	2	5	0.8
1630	8	173	0.09
1631	3	168	0.04
1632	6	15	0.8
1633	10	27	0.74
1634	4	10	0.8
1635	9	612	0.03
1636	6	23	0.52
1637	5	11	0.91
1638	17	34	1
1639	6	12	1
1640	5	11	0.91
1641	4	387	0.02
1642	1	5	0.4
1643	4	8	1
1644	6	13	0.92
1645	11	25	0.88
1646	5	19	0.53
1647	6	609	0.02
1648	6	171	0.07
1649	9	174	0.1
1650	8	38	0.42
1651	9	127	0.14
1652	16	44	0.73
1653	8	611	0.03
1654	2	8	0.5
1655	5	34	0.29
1656	4	10	0.8
1657	4	33	0.24
1658	6	13	0.92
1659	6	14	0.86
1660	6	13	0.92
1661	6	14	0.86
1662	7	14	1
1663	8	16	1
1664	3	11	0.55
1665	2	605	0.01
1666	2	12	0.33
1667	2	167	0.02
1668	8	18	0.89
1669	5	170	0.06
1670	6	35	0.34
1671	7	18	0.78
1672	13	396	0.07
1673	5	16	0.62
1674	23	406	0.11
1675	11	394	0.06
1676	5	12	0.83
1677	7	14	1
1678	6	13	0.92
1679	7	14	1
1680	3	10	0.6
1681	4	30	0.27
1682	6	32	0.38
1683	25	628	0.08
1684	16	184	0.17
1685	18	401	0.09
1686	13	181	0.14
1687	2	4	1
1688	3	168	0.04
1689	2	4	1
1690	2	4	1
1691	3	6	1
1692	5	12	0.83
1693	3	6	1
1694	3	10	0.6
1695	3	606	0.01
1696	3	10	0.6
1697	7	14	1
1698	4	11	0.73
1699	5	16	0.62
1700	5	388	0.03
1701	3	14	0.43
1702	18	53	0.68
1703	13	34	0.76
1704	29	121	0.48
1705	16	51	0.63
1706	12	33	0.73
1707	21	64	0.66
1708	19	54	0.7
1709	15	36	0.83
1710	26	69	0.75
1711	18	39	0.92
1712	14	57	0.49
1713	16	158	0.2
1714	10	53	0.38
1715	12	154	0.16
1716	21	163	0.26
1717	8	20	0.8
1718	15	67	0.45
1719	6	13	0.92
1720	18	134	0.27
1721	8	60	0.27
1722	5	12	0.83
1723	7	123	0.11
1724	12	395	0.06
1725	5	12	0.83
1726	6	122	0.1
1727	6	389	0.03
1728	0	2	0
1729	5	12	0.83
1730	7	17	0.82
1731	5	12	0.83
1732	4	14	0.57
1733	3	13	0.46
1734	7	15	0.93
1735	4	8	1
1736	5	13	0.77
1737	4	8	1
1738	4	8	1
1739	6	28	0.43
1740	5	132	0.08
1741	4	26	0.31
1742	4	131	0.06
1743	9	136	0.13
1744	15	44	0.68
1745	28	78	0.72
1746	14	64	0.44
1747	8	23	0.7
1748	4	11	0.73
1749	12	395	0.06
1750	5	12	0.83
1751	6	13	0.92
1752	2	4	1
1753	7	14	1
1754	2	167	0.02
1755	2	9	0.44
1756	4	11	0.73
1757	3	13	0.46
1758	5	123	0.08
1759	4	10	0.8
1760	4	10	0.8
1761	5	11	0.91
1762	9	612	0.03
1763	9	392	0.05
1764	3	12	0.5
1765	9	37	0.49
1766	8	17	0.94
1767	8	17	0.94
1768	4	32	0.25
1769	2	10	0.4
1770	2	182	0.02
1771	2	6	0.67
1772	5	185	0.05
1773	2	6	0.67
1774	4	8	1
1775	8	17	0.94
1776	7	15	0.93
1777	9	18	1
1778	8	16	1
1779	5	170	0.06
1780	4	12	0.67
1781	6	14	0.86
1782	5	10	1
1783	6	14	0.86
1784	4	184	0.04
1785	5	608	0.02
1786	4	12	0.67
1787	7	15	0.93
1788	8	16	1
1789	4	13	0.62
1790	9	612	0.03
1791	9	18	1
1792	5	55	0.18
1793	9	612	0.03
1794	4	13	0.62
1795	7	57	0.25
1796	9	18	1
1797	5	55	0.18
1799	6	15	0.8
1800	4	8	1
1801	13	39	0.67
1802	4	8	1
1803	4	122	0.07
1804	5	31	0.32
1805	4	607	0.01
1806	4	122	0.07
1807	4	30	0.27
1808	13	39	0.67
1809	11	26	0.85
1810	12	26	0.92
1811	10	25	0.8
1812	12	26	0.92
1813	13	131	0.2
1814	9	23	0.78
1815	9	136	0.13
1816	12	139	0.17
1817	8	19	0.84
1818	15	34	0.88
1819	18	37	0.97
1820	7	26	0.54
1821	8	173	0.09
1822	12	177	0.14
1823	3	7	0.86
1824	3	7	0.86
1825	10	24	0.83
1826	4	8	1
1827	6	20	0.6
1828	3	17	0.35
1829	9	23	0.78
1830	17	55	0.62
1831	9	23	0.78
1832	17	55	0.62
1833	11	394	0.06
1834	10	48	0.42
1835	4	11	0.73
1836	6	14	0.86
1837	7	14	1
1838	3	11	0.55
1839	4	8	1
1840	23	55	0.84
1841	4	8	1
1842	4	184	0.04
1843	4	36	0.22
1844	4	8	1
1845	4	131	0.06
1846	17	49	0.69
1847	4	8	1
1848	4	8	1
1849	13	140	0.19
1850	4	131	0.06
1851	3	386	0.02
1852	1	6	0.33
1853	4	9	0.89
1854	11	179	0.12
1855	13	396	0.07
1856	6	14	0.86
1857	7	15	0.93
1858	7	15	0.93
1859	12	38	0.63
1860	2	4	1
1861	19	45	0.84
1862	2	4	1
1863	2	4	1
1864	5	26	0.38
1865	5	40	0.25
1866	6	18	0.67
1867	7	19	0.74
1868	6	13	0.92
1869	9	39	0.46
1870	9	28	0.64
1871	7	610	0.02
1872	6	174	0.07
1873	6	36	0.33
1874	6	25	0.48
1875	6	33	0.36
1876	28	58	0.97
1877	27	54	1
1878	22	52	0.85
1879	16	35	0.91
1880	20	47	0.85
1881	11	30	0.73
1882	10	37	0.54
1883	10	37	0.54
1884	2	605	0.01
1885	2	6	0.67
1886	2	167	0.02
1887	4	8	1
1888	3	168	0.04
1889	1	5	0.4
1890	2	4	1
1891	2	4	1
1892	6	15	0.8
1893	2	11	0.36
1894	4	18	0.44
1895	3	46	0.13
1896	9	52	0.35
1897	0	3	0
1898	0	7	0
1899	0	15	0
1900	9	612	0.03
1901	8	391	0.04
1902	3	11	0.55
1903	5	123	0.08
1904	6	14	0.86
1905	7	125	0.11
1906	13	27	0.96
1907	13	178	0.15
1908	6	389	0.03
1909	1	4	0.5
1910	3	6	1
1911	0	4	0
1912	8	16	1
1913	4	8	1
1914	3	7	0.86
1915	8	611	0.03
1916	8	173	0.09
1917	4	607	0.01
1918	4	169	0.05
1919	11	46	0.48
1920	8	29	0.55
1921	14	57	0.49
1922	22	405	0.11
1923	15	36	0.83
1924	31	74	0.84
1925	13	616	0.04
1926	8	173	0.09
1927	2	4	1
1928	2	4	1
1929	2	4	1
1930	3	8	0.75
1931	10	40	0.5
1932	4	9	0.89
1933	2	7	0.57
1934	8	18	0.89
1935	24	74	0.65
1936	6	15	0.8
1937	9	19	0.95
1938	8	17	0.94
1939	7	43	0.33
1940	6	56	0.21
1941	4	13	0.62
1942	15	65	0.46
1943	6	15	0.8
1944	8	27	0.59
1945	7	19	0.74
1946	18	37	0.97
1947	12	24	1
1948	8	150	0.11
1949	9	21	0.86
1950	7	19	0.74
1951	5	10	1
1952	6	12	1
1953	5	11	0.91
1954	5	170	0.06
1955	6	171	0.07
1956	2	4	1
1957	4	11	0.73
1958	2	4	1
1959	2	4	1
1960	6	389	0.03
1961	2	385	0.01
1962	8	16	1
1963	5	12	0.83
1964	8	16	1
1965	5	12	0.83
1966	8	16	1
1967	6	13	0.92
1968	8	16	1
1969	5	12	0.83
1970	8	391	0.04
1971	5	12	0.83
1972	5	12	0.83
1973	5	10	1
1974	4	9	0.89
1975	4	9	0.89
1976	5	608	0.02
1977	4	120	0.07
1978	5	388	0.03
1979	5	608	0.02
1980	6	13	0.92
1981	7	17	0.82
1982	7	610	0.02
1983	3	13	0.46
1984	0	5	0
1985	6	21	0.57
1986	10	24	0.83
1987	6	20	0.6
1988	5	31	0.32
1989	7	33	0.42
1990	1	384	0.01
1991	9	20	0.9
1992	9	151	0.12
1993	11	149	0.15
1994	16	619	0.05
1995	9	29	0.62
1996	11	153	0.14
1997	14	34	0.82
1998	14	156	0.18
1999	0	0	1
2000	4	8	1
2001	4	8	1
2002	4	172	0.05
2003	4	8	1
2004	4	122	0.07
2005	4	169	0.05
2006	4	8	1
2007	4	122	0.07
2008	4	169	0.05
2009	12	26	0.92
2010	6	15	0.8
2011	12	192	0.12
2012	6	15	0.8
2013	12	139	0.17
2014	6	15	0.8
2015	7	125	0.11
2016	6	133	0.09
2017	6	17	0.71
2018	8	60	0.27
2019	10	22	0.91
2020	8	124	0.13
2021	10	62	0.32
2022	6	18	0.67
2023	10	126	0.16
2024	8	20	0.8
2025	8	124	0.13
2026	9	392	0.05
2027	3	7	0.86
2028	8	124	0.13
2029	3	7	0.86
2030	4	8	1
2031	22	82	0.54
2032	6	14	0.86
2033	22	82	0.54
2034	6	14	0.86
2035	8	174	0.09
2036	8	173	0.09
2037	7	16	0.88
2038	9	125	0.14
2039	9	392	0.05
2040	2	20	0.2
2041	2	7	0.57
2042	2	385	0.01
2043	4	9	0.89
2044	4	387	0.02
2045	5	11	0.91
2046	14	33	0.85
2047	6	609	0.02
2048	3	22	0.27
2049	5	170	0.06
2050	18	37	0.97
2051	13	178	0.15
2052	11	23	0.96
2053	12	24	1
2054	12	395	0.06
2055	12	130	0.18
2056	3	81	0.07
2057	3	6	1
2058	3	121	0.05
2059	3	6	1
2060	3	6	1
2061	3	121	0.05
2062	14	29	0.97
2063	16	33	0.97
2064	12	27	0.89
2065	15	32	0.94
2066	14	29	0.97
2067	16	33	0.97
2068	10	40	0.5
2069	14	617	0.05
2070	11	127	0.17
2071	14	397	0.07
2072	12	29	0.83
2073	13	30	0.87
2074	16	33	0.97
2075	13	30	0.87
2076	16	33	0.97
2077	5	13	0.77
2078	5	10	1
2079	5	19	0.53
2080	5	10	1
2081	0	0	1
2082	20	45	0.89
2083	17	39	0.87
2084	11	36	0.61
2085	46	214	0.43
2086	10	32	0.62
2087	38	203	0.37
2088	25	628	0.08
2089	11	179	0.12
2090	13	35	0.74
2091	19	184	0.21
2092	12	34	0.71
2093	16	181	0.18
2094	27	57	0.95
2095	35	113	0.62
2096	10	178	0.11
2097	7	21	0.67
2098	10	175	0.11
2099	19	187	0.2
2100	10	24	0.83
2101	19	184	0.21
2102	3	6	1
2103	9	189	0.1
2104	3	13	0.46
2105	3	183	0.03
2106	2	12	0.33
2107	7	16	0.88
2108	6	18	0.67
2109	8	17	0.94
2110	5	17	0.59
2111	3	171	0.04
2112	2	4	1
2113	4	387	0.02
2114	2	4	1
2115	2	385	0.01
2116	4	8	1
2117	4	8	1
2118	4	8	1
2119	16	46	0.7
2120	4	8	1
2121	4	34	0.24
2122	4	8	1
2123	4	131	0.06
2124	4	8	1
2125	18	145	0.25
2126	4	131	0.06
2127	12	178	0.13
2128	12	151	0.16
2129	8	17	0.94
2130	11	30	0.73
2131	12	177	0.14
2132	12	615	0.04
2133	11	127	0.17
2134	12	395	0.06
2135	12	40	0.6
2136	8	17	0.94
2137	8	17	0.94
2138	8	27	0.59
2139	8	173	0.09
2140	8	124	0.13
2141	15	131	0.23
2142	22	50	0.88
2143	5	12	0.83
2144	8	17	0.94
2145	3	12	0.5
2146	9	20	0.9
2147	8	27	0.59
2148	9	127	0.14
2149	3	22	0.27
2150	8	27	0.59
2151	7	15	0.93
2152	30	168	0.36
2153	30	172	0.35
2154	7	390	0.04
2155	3	55	0.11
2156	3	23	0.26
2157	3	119	0.05
2158	11	31	0.71
2159	14	130	0.22
2160	4	10	0.8
2161	3	7	0.86
2162	6	12	1
2163	3	7	0.86
2164	6	12	1
2165	3	7	0.86
2166	3	7	0.86
2167	4	89	0.09
2168	4	13	0.62
2169	4	607	0.01
2170	4	10	0.8
2171	4	40	0.2
2172	5	14	0.71
2173	6	12	1
2174	8	611	0.03
2175	4	10	0.8
2176	4	40	0.2
2177	5	11	0.91
2178	5	41	0.24
2179	7	15	0.93
2180	6	13	0.92
2181	6	186	0.06
2182	8	611	0.03
2183	5	12	0.83
2184	7	37	0.38
2185	6	133	0.09
2186	6	13	0.92
2187	7	14	1
2188	5	35	0.29
2189	7	134	0.1
2190	15	35	0.86
2191	13	30	0.87
2192	14	34	0.82
2193	12	29	0.83
2194	13	140	0.19
2195	11	138	0.16
2196	7	390	0.04
2197	4	9	0.89
2198	4	30	0.27
2199	5	10	1
2200	3	29	0.21
2201	5	26	0.38
2202	3	9	0.67
2203	4	18	0.44
2204	6	12	1
2205	5	11	0.91
2206	4	18	0.44
2207	7	16	0.88
2208	7	149	0.09
2209	2	4	1
2210	2	4	1
2211	2	385	0.01
2212	2	4	1
2213	2	4	1
2214	9	21	0.86
2215	4	8	1
2216	4	8	1
2217	8	188	0.09
2218	4	8	1
2219	4	8	1
2220	8	135	0.12
2221	4	8	1
2222	4	8	1
2223	4	8	1
2224	4	131	0.06
2225	4	131	0.06
2226	3	606	0.01
2227	3	171	0.04
2228	3	168	0.04
2229	3	30	0.2
2230	2	8	0.5
2231	4	387	0.02
2232	4	387	0.02
2233	5	10	1
2234	22	57	0.77
2235	5	10	1
2236	18	53	0.68
2237	5	608	0.02
2238	5	173	0.06
2239	5	40	0.25
2240	5	170	0.06
2241	20	55	0.73
2242	18	183	0.2
2243	8	20	0.8
2244	8	16	1
2245	12	615	0.04
2246	8	176	0.09
2247	6	20	0.6
2248	7	172	0.08
2249	6	14	0.86
2250	8	16	1
2251	8	16	1
2252	7	15	0.93
2253	8	16	1
2254	8	16	1
2255	8	20	0.8
2256	8	173	0.09
2257	8	20	0.8
2258	4	89	0.09
2259	4	64	0.12
2260	3	14	0.43
2261	11	22	1
2262	7	18	0.78
2263	64	229	0.56
2264	9	20	0.9
2265	10	21	0.95
2266	45	225	0.4
2267	10	21	0.95
2268	11	22	1
2269	40	167	0.48
2270	45	210	0.43
2271	9	20	0.9
2272	10	21	0.95
2273	10	21	0.95
2274	11	22	1
2275	40	167	0.48
2276	11	22	1
2277	11	22	1
2278	9	20	0.9
2279	9	136	0.13
2280	10	137	0.15
2281	10	613	0.03
2282	7	172	0.08
2283	2	7	0.57
2284	3	8	0.75
2285	4	9	0.89
2286	6	15	0.8
2287	7	23	0.61
2288	9	612	0.03
2289	6	33	0.36
2290	16	32	1
2291	8	35	0.46
2292	8	100	0.16
2293	9	392	0.05
2294	9	39	0.46
2295	12	42	0.57
2296	19	49	0.78
2297	6	389	0.03
2298	1	6	0.33
2299	4	9	0.89
2300	7	145	0.1
2301	7	610	0.02
2302	5	10	1
2303	7	390	0.04
2304	7	149	0.09
2305	5	10	1
2306	5	147	0.07
2307	7	17	0.82
2308	7	16	0.88
2309	7	172	0.08
2310	7	390	0.04
2311	6	15	0.8
2312	7	16	0.88
2313	7	16	0.88
2314	3	10	0.6
2315	9	612	0.03
2316	7	390	0.04
2317	6	389	0.03
2318	4	11	0.73
2319	4	10	0.8
2320	6	609	0.02
2321	3	15	0.4
2322	4	10	0.8
2323	12	24	1
2324	6	12	1
2325	3	9	0.67
2326	8	16	1
2327	5	10	1
2328	8	150	0.11
2329	5	147	0.07
2330	15	33	0.91
2331	5	10	1
2332	17	35	0.97
2333	5	10	1
2334	5	10	1
2335	15	180	0.17
2336	5	170	0.06
2337	7	99	0.14
2338	7	59	0.24
2339	7	123	0.11
2340	8	391	0.04
2341	4	10	0.8
2342	4	10	0.8
2343	6	12	1
2344	6	12	1
2345	6	12	1
2346	5	13	0.77
2347	20	58	0.69
2348	20	58	0.69
2349	13	32	0.81
2350	17	36	0.94
2351	17	182	0.19
2352	15	35	0.86
2353	19	51	0.75
2354	14	31	0.9
2355	14	33	0.85
2356	13	32	0.81
2357	20	58	0.69
2358	15	35	0.86
2359	22	54	0.81
2360	14	31	0.9
2361	14	33	0.85
2362	13	32	0.81
2363	20	58	0.69
2364	13	45	0.58
2365	16	66	0.48
2366	11	28	0.79
2367	11	30	0.73
2368	11	30	0.73
2369	14	57	0.49
2370	15	53	0.57
2371	19	69	0.55
2372	14	31	0.9
2373	25	408	0.12
2374	13	32	0.81
2375	18	61	0.59
2376	13	30	0.87
2377	43	426	0.2
2378	13	32	0.81
2379	15	34	0.88
2380	23	66	0.7
2381	22	60	0.73
2382	16	399	0.08
2383	13	32	0.81
2384	11	30	0.73
2385	14	57	0.49
2386	13	51	0.51
2387	16	35	0.91
2388	17	36	0.94
2389	11	30	0.73
2390	13	56	0.46
2391	12	50	0.48
2392	13	56	0.46
2393	20	58	0.69
2394	5	57	0.18
2395	5	29	0.34
2396	0	8	0
2397	7	175	0.08
2398	3	22	0.27
2399	13	32	0.81
2400	0	4	0
2401	8	100	0.16
2402	7	59	0.24
2403	7	16	0.88
2404	7	123	0.11
2405	8	391	0.04
2406	9	18	1
2407	6	15	0.8
2408	6	122	0.1
2409	9	392	0.05
2410	5	10	1
2411	5	10	1
2412	5	10	1
2413	5	10	1
2414	5	14	0.71
2415	5	388	0.03
2416	6	609	0.02
2417	3	9	0.67
2418	3	11	0.55
2419	5	11	0.91
2420	8	16	1
2421	2	10	0.4
2422	11	22	1
2423	7	14	1
2424	10	175	0.11
2425	6	13	0.92
2426	7	14	1
2427	11	22	1
2428	7	19	0.74
2429	10	190	0.11
2430	11	129	0.17
2431	5	17	0.59
2432	9	136	0.13
2433	5	17	0.59
2434	5	132	0.08
2435	5	608	0.02
2436	5	173	0.06
2437	5	388	0.03
2438	6	12	1
2439	6	174	0.07
2440	6	389	0.03
2441	0	0	1
2442	5	14	0.71
2443	5	83	0.12
2444	5	123	0.08
2445	7	85	0.16
2446	7	125	0.11
2447	2	605	0.01
2448	2	167	0.02
2449	2	12	0.33
2450	8	18	0.89
2451	5	15	0.67
2452	5	13	0.77
2453	7	17	0.82
2454	5	13	0.77
2455	4	14	0.57
2456	3	13	0.46
2457	14	29	0.97
2458	14	397	0.07
2459	6	14	0.86
2460	9	22	0.82
2461	2	15	0.27
2462	13	26	1
2463	3	6	1
2464	3	6	1
2465	3	6	1
2466	3	30	0.2
2467	4	8	1
2468	9	25	0.72
2469	4	8	1
2470	4	184	0.04
2471	4	20	0.4
2472	4	8	1
2473	4	131	0.06
2474	8	24	0.67
2475	4	8	1
2476	4	8	1
2477	8	135	0.12
2478	4	131	0.06
2479	9	22	0.82
2480	12	26	0.92
2481	8	22	0.73
2482	9	174	0.1
2483	10	175	0.11
2484	15	32	0.94
2485	13	30	0.87
2486	15	32	0.94
2487	12	29	0.83
2488	16	33	0.97
2489	13	30	0.87
2490	16	399	0.08
2491	16	134	0.24
2492	10	35	0.57
2493	9	31	0.58
2494	9	45	0.4
2495	15	398	0.08
2496	9	45	0.4
2497	9	22	0.82
2498	9	612	0.03
2499	6	28	0.43
2500	5	26	0.38
2501	13	616	0.04
2502	6	28	0.43
2503	5	26	0.38
2504	12	33	0.73
2505	20	58	0.69
2506	28	106	0.53
2507	16	54	0.59
2508	21	59	0.71
2509	28	155	0.36
2510	21	59	0.71
2511	15	142	0.21
2512	8	611	0.03
2513	2	4	1
2514	4	169	0.05
2515	2	4	1
2516	2	167	0.02
2517	2	605	0.01
2518	2	38	0.11
2519	2	167	0.02
2520	11	176	0.12
2521	7	17	0.82
2522	4	10	0.8
2523	4	14	0.57
2524	4	10	0.8
2525	3	9	0.67
2526	3	7	0.86
2527	3	7	0.86
2528	3	168	0.04
2529	3	606	0.01
2530	3	7	0.86
2531	3	7	0.86
2532	3	7	0.86
2533	6	13	0.92
2534	4	8	1
2535	5	12	0.83
2536	3	7	0.86
2537	2	6	0.67
2538	7	16	0.88
2539	7	85	0.16
2540	7	125	0.11
2541	7	85	0.16
2542	8	611	0.03
2543	7	125	0.11
2544	3	7	0.86
2545	6	12	1
2546	3	606	0.01
2547	3	145	0.04
2548	3	9	0.67
2549	6	12	1
2550	2	4	1
2551	3	168	0.04
2552	2	4	1
2553	2	4	1
2554	6	14	0.86
2555	3	11	0.55
2556	6	171	0.07
2557	8	26	0.62
2558	5	13	0.77
2559	3	11	0.55
2560	8	173	0.09
2561	4	169	0.05
2562	6	13	0.92
2563	9	21	0.86
2564	6	13	0.92
2565	9	21	0.86
2566	7	14	1
2567	10	26	0.77
2568	21	71	0.59
2569	12	28	0.86
2570	10	175	0.11
2571	13	63	0.41
2572	21	71	0.59
2573	4	13	0.62
2574	8	27	0.59
2575	8	46	0.35
2576	9	612	0.03
2577	5	24	0.42
2578	8	46	0.35
2579	5	13	0.77
2580	8	18	0.89
2581	6	14	0.86
2582	5	15	0.67
2583	4	12	0.67
2584	5	13	0.77
2585	4	13	0.62
2586	6	24	0.5
2587	5	20	0.5
2588	3	6	1
2589	7	21	0.67
2590	3	6	1
2591	4	18	0.44
2592	3	17	0.35
2593	3	606	0.01
2594	4	12	0.67
2595	8	16	1
2596	4	12	0.67
2597	5	13	0.77
2598	4	11	0.73
2599	3	10	0.6
2600	6	609	0.02
2601	5	10	1
2602	5	388	0.03
2603	8	21	0.76
2604	7	21	0.67
2605	8	35	0.46
2606	8	35	0.46
2607	12	31	0.77
2608	18	37	0.97
2609	15	142	0.21
2610	3	7	0.86
2611	5	10	1
2612	3	7	0.86
2613	5	10	1
2614	5	10	1
2615	3	8	0.75
2616	3	9	0.67
2617	4	20	0.4
2618	5	40	0.25
2619	3	19	0.32
2620	6	609	0.02
2621	5	40	0.25
2622	14	49	0.57
2623	59	198	0.6
2624	5	16	0.62
2625	4	9	0.89
2626	5	16	0.62
2627	36	204	0.35
2628	34	199	0.34
2629	4	15	0.53
2630	4	172	0.05
2631	5	173	0.06
2632	4	169	0.05
2633	8	24	0.67
2634	4	9	0.89
2635	6	66	0.18
2636	3	8	0.75
2637	4	9	0.89
2638	7	22	0.64
2639	21	404	0.1
2640	2	4	1
2641	2	4	1
2642	2	4	1
2643	9	33	0.55
2644	9	33	0.55
2645	7	16	0.88
2646	7	16	0.88
2647	7	16	0.88
2648	7	16	0.88
2649	7	16	0.88
2650	9	612	0.03
2651	8	17	0.94
2652	7	172	0.08
2653	9	18	1
2654	7	172	0.08
2655	7	173	0.08
2656	7	172	0.08
2657	4	19	0.42
2658	7	610	0.02
2659	12	27	0.89
2660	12	27	0.89
2661	4	120	0.07
2662	9	392	0.05
2663	4	13	0.62
2664	9	392	0.05
2665	0	10	0
2666	3	6	1
2667	2	5	0.8
2668	3	6	1
2669	7	21	0.67
2670	4	8	1
2671	4	8	1
2672	14	40	0.7
2673	4	8	1
2674	4	8	1
2675	12	38	0.63
2676	4	8	1
2677	4	30	0.27
2678	4	131	0.06
2679	4	30	0.27
2680	4	131	0.06
2681	10	137	0.15
2682	15	39	0.77
2683	16	108	0.3
2684	11	31	0.71
2685	15	47	0.64
2686	13	63	0.41
2687	13	30	0.87
2688	11	30	0.73
2689	14	57	0.49
2690	13	51	0.51
2691	8	17	0.94
2692	5	14	0.71
2693	7	28	0.5
2694	6	13	0.92
2695	7	28	0.5
2696	6	13	0.92
2697	5	12	0.83
2698	7	14	1
2699	3	23	0.26
2700	5	83	0.12
2701	5	123	0.08
2702	17	95	0.36
2703	11	23	0.96
2704	4	8	1
2705	4	8	1
2706	4	8	1
2707	10	190	0.11
2708	4	8	1
2709	10	137	0.15
2710	4	184	0.04
2711	4	8	1
2712	4	131	0.06
2713	4	8	1
2714	4	131	0.06
2715	2	18	0.22
2716	2	605	0.01
2717	2	167	0.02
